『ユーザーID』 higasikata@jyousuke,『ユーザー名』 東方仗助,『誕生日』 1998年10月24日,『会社入社日』 2010年06月01日
『ユーザーID』 hirose@kouichi,『ユーザー名』 広瀬康一,『誕生日』 1998年10月24日,『会社入社日』 2010年04月01日
『ユーザーID』 yamagisi@yukako,『ユーザー名』 山岸由花子,『誕生日』 1996年02月03日,『会社入社日』 2010年04月01日
『ユーザーID』 kisibe@rohann,『ユーザー名』 岸部露伴,『誕生日』 1994年02月22日,『会社入社日』 2010年04月01日
『ユーザーID』 nijimura@okuyasu,『ユーザー名』 虹村億康,『誕生日』 1990年05月25日,『会社入社日』 2010年04月01日
『ユーザーID』 jyannpieeru@porunarefu,『ユーザー名』 ジャンピエール・ポルナレフ,『誕生日』 1983年10月24日,『会社入社日』 2010年04月01日
『ユーザーID』 kakyouinn@noriaki,『ユーザー名』 花京院典明,『誕生日』 1985年12月23日,『会社入社日』 2010年04月01日
『ユーザーID』 dio@burando,『ユーザー名』 ディオ・ブランドー,『誕生日』 1988年12月29日,『会社入社日』 2010年04月01日
『ユーザーID』 kuujyou@jyoutarou,『ユーザー名』 空条承太郎,『誕生日』 1990年04月07日,『会社入社日』 2017年04月01日
『ユーザーID』 sonn@gokuu,『ユーザー名』 孫悟空,『誕生日』 2000年10月30日,『会社入社日』 2021年01月01日
『ユーザーID』 bejiita@bejiita,『ユーザー名』 ベジータ,『誕生日』 1993年02月17日,『会社入社日』 2021年04月05日
『ユーザーID』 dhiaboro@doppio,『ユーザー名』 ディアボロディアボロディアボロディアボロ,『誕生日』 2021年04月29日,『会社入社日』 2021年04月16日
『ユーザーID』 risa@risa,『ユーザー名』 リサリサ,『誕生日』 1990年08月15日,『会社入社日』 2010年04月01日
『ユーザーID』 kuujyou@horili,『ユーザー名』 空条ホリィ,『誕生日』 1970年03月17日,『会社入社日』 2021年05月06日
『ユーザーID』 erina@enndorutonn,『ユーザー名』 エリナ・エンペルト,『誕生日』 1992年02月12日,『会社入社日』 2015年04月01日
『ユーザーID』 ennya@baa,『ユーザー名』 エンヤ婆,『誕生日』 1960年12月25日,『会社入社日』 2010年04月01日
『ユーザーID』 mara@iya,『ユーザー名』 マライヤ,『誕生日』 2000年06月14日,『会社入社日』 2020年04月01日
『ユーザーID』 mido@raa,『ユーザー名』 ミドラー,『誕生日』 1990年02月14日,『会社入社日』 2010年04月01日
『ユーザーID』 basuteto@sinn,『ユーザー名』 バステト神,『誕生日』 1999年11月11日,『会社入社日』 2021年04月01日
